>SAMEA6262319.contig00014 len=105750
>SAMN33304703.contig00079 len=6291
>SAMN33304703.contig00080 len=5941
>SAMN33304703.contig00083 len=3809
>SAMN33304703.contig00084 len=3758
>SAMN33304703.contig00085 len=3580
>SAMN33304703.contig00086 len=3416
>SAMN33304703.contig00089 len=2692
>SAMN33323109.contig00004 len=318579
>SAMN33323109.contig00007 len=245055
>SAMN33323109.contig00017 len=142899
>SAMN33323109.contig00018 len=135798
>SAMN33323109.contig00043 len=47681
>SAMN33323109.contig00047 len=26873
>SAMN33323109.contig00048 len=26673
>SAMN33323109.contig00050 len=23827
>SAMN33323109.contig00055 len=18073
>SAMN33323109.contig00056 len=17054
>SAMN33323109.contig00058 len=14600
>SAMN33323109.contig00059 len=12921
>SAMN33323109.contig00060 len=11596
>SAMN33323109.contig00062 len=10910
>SAMN33323109.contig00064 len=10034
>SAMN33323109.contig00065 len=9477
>SAMN33323109.contig00066 len=8944
>SAMN33323109.contig00067 len=8556
>SAMN33323109.contig00072 len=5967
>SAMN33323109.contig00076 len=5174
>SAMN33323109.contig00077 len=5148
>SAMN33323109.contig00079 len=4311
>SAMN33323109.contig00099 len=1815
>SAMN33323109.contig00138 len=567
>SAMN33323109.contig00141 len=555
>SAMN33323109.contig00148 len=515
>SAMN33323109.contig00151 len=488
>SAMN33323109.contig00180 len=300
>SAMN33382427.contig00006 len=286047
>SAMN33382427.contig00010 len=232091
>SAMN33382427.contig00016 len=165089
>SAMN33382427.contig00022 len=101781
>SAMN33382427.contig00027 len=81768
>SAMN33382427.contig00028 len=81130
>SAMN33382427.contig00031 len=59758
>SAMN33382427.contig00035 len=45299
>SAMN33382427.contig00037 len=44403
>SAMN33382427.contig00039 len=42259
>SAMN33382427.contig00040 len=40733
>SAMN33382427.contig00044 len=36060
>SAMN33382427.contig00046 len=32704
>SAMN33382427.contig00049 len=27229
>SAMN33382427.contig00050 len=21215
>SAMN33382427.contig00051 len=17345
>SAMN33382427.contig00054 len=13576
>SAMN33382427.contig00055 len=10682
>SAMN33382427.contig00056 len=9970
>SAMN33382427.contig00058 len=7996
>SAMN33382427.contig00059 len=7865
>SAMN33382427.contig00061 len=7325
>SAMN33382427.contig00062 len=6650
>SAMN33382427.contig00064 len=5630
>SAMN33382427.contig00066 len=4292
>SAMN33391640.contig00011 len=183759
>SAMN33391640.contig00015 len=161408
>SAMN33391640.contig00018 len=110453
>SAMN33391640.contig00036 len=66221
>SAMN33391640.contig00039 len=59021
>SAMN33391640.contig00050 len=38113
>SAMN33391640.contig00053 len=33416
>SAMN33391640.contig00056 len=32974
>SAMN33391640.contig00058 len=26945
>SAMN33391640.contig00059 len=22475
>SAMN33391640.contig00065 len=13838
>SAMN33391640.contig00070 len=7509
>SAMN33391640.contig00080 len=3976
>SAMN33391640.contig00081 len=3951
>SAMN33392442.contig00012 len=197644
>SAMN33392442.contig00013 len=194183
>SAMN33392442.contig00014 len=167429
>SAMN33392442.contig00031 len=29196
>SAMN33392442.contig00032 len=28920
>SAMN33392442.contig00039 len=3744
>SAMN33392442.contig00041 len=3157
>SAMN33392449.contig00006 len=361770
>SAMN33392449.contig00008 len=336052
>SAMN33392449.contig00023 len=68757
>SAMN33392449.contig00032 len=17215
>SAMN33392449.contig00034 len=12452
>SAMN33392449.contig00035 len=10953
>SAMN33392449.contig00037 len=8150
>SAMN33392449.contig00042 len=4495
>SAMN33392449.contig00048 len=2579
>SAMN33392450.contig00005 len=309513
>SAMN33392450.contig00007 len=237267
>SAMN33392450.contig00011 len=220024
>SAMN33392450.contig00017 len=140188
>SAMN33392450.contig00018 len=138466
>SAMN33392450.contig00019 len=136287
>SAMN33392450.contig00021 len=110309
>SAMN33392450.contig00025 len=87962
>SAMN33392450.contig00028 len=84991
>SAMN33392450.contig00041 len=33101
>SAMN33392450.contig00045 len=13285
>SAMN33392450.contig00049 len=12212
>SAMN33392450.contig00051 len=10720
>SAMN33392450.contig00052 len=10203
>SAMN33392450.contig00053 len=7193
>SAMN33392450.contig00055 len=5341
>SAMN33392450.contig00058 len=4609
>SAMN33392450.contig00059 len=4529
>SAMN33392450.contig00061 len=3441
>SAMN33392450.contig00062 len=3434
>SAMN33392450.contig00063 len=3195
>SAMN33392450.contig00064 len=3162
>SAMN33392450.contig00065 len=3159
>SAMN33392450.contig00066 len=3138
>SAMN33392450.contig00067 len=2940
>SAMN33392450.contig00068 len=2857
>SAMN33392450.contig00069 len=2764
>SAMN33392450.contig00070 len=2747
>SAMN33392450.contig00071 len=2702
>SAMN33392450.contig00076 len=2138
>SAMN33392450.contig00077 len=2127
>SAMN33392450.contig00081 len=1587
>SAMN33392450.contig00104 len=715
>SAMN33392450.contig00113 len=609
>SAMN33392450.contig00127 len=503
>SAMN33392450.contig00141 len=422
>SAMN33392450.contig00145 len=387
>SAMN33392450.contig00166 len=313
>SAMN33392450.contig00189 len=255
>SAMN33406702.contig00011 len=229424
>SAMN33406702.contig00013 len=207391
>SAMN33406702.contig00018 len=130279
>SAMN33406702.contig00030 len=72405
>SAMN33406702.contig00034 len=67751
>SAMN33406702.contig00037 len=64908
>SAMN33406702.contig00041 len=52625
>SAMN33406702.contig00044 len=51234
>SAMN33406702.contig00046 len=46498
>SAMN33406702.contig00049 len=39139
>SAMN33406702.contig00058 len=24814
>SAMN33406702.contig00071 len=6450
>SAMN33406702.contig00072 len=6216
>SAMN33406702.contig00073 len=5919
>SAMN33406702.contig00075 len=5510
>SAMN33406702.contig00076 len=5411
>SAMN33406702.contig00077 len=5192
>SAMN33406702.contig00079 len=4817
>SAMN33406702.contig00083 len=3783
>SAMN33406702.contig00086 len=3161
>SAMN33406702.contig00087 len=3066
>SAMN33406702.contig00208 len=226
>SAMN33406712.contig00003 len=229403
>SAMN33406712.contig00005 len=200977
>SAMN33406712.contig00018 len=105936
>SAMN33406712.contig00019 len=102489
>SAMN33406712.contig00042 len=66041
>SAMN33406712.contig00043 len=64908
>SAMN33406712.contig00052 len=55141
>SAMN33406712.contig00055 len=52202
>SAMN33406712.contig00057 len=51296
>SAMN33406712.contig00061 len=43817
>SAMN33406712.contig00068 len=36852
>SAMN33406712.contig00072 len=29079
>SAMN33406712.contig00080 len=22173
>SAMN33406712.contig00083 len=18522
>SAMN33406712.contig00084 len=17869
>SAMN33406712.contig00090 len=12730
>SAMN33406712.contig00091 len=12272
>SAMN33406712.contig00093 len=9477
>SAMN33406712.contig00097 len=7144
>SAMN33406712.contig00100 len=6464
>SAMN33406712.contig00103 len=5919
>SAMN33406712.contig00105 len=5411
>SAMN33406712.contig00106 len=5192
>SAMN33406712.contig00108 len=4817
>SAMN33406712.contig00113 len=3783
>SAMN33406712.contig00116 len=3161
>SAMN33406712.contig00123 len=2361
>SAMN33406726.contig00006 len=241174
>SAMN33406726.contig00009 len=226657
>SAMN33406726.contig00013 len=169259
>SAMN33406726.contig00029 len=81391
>SAMN33406726.contig00042 len=41900
>SAMN33406726.contig00048 len=33442
>SAMN33406726.contig00052 len=17885
>SAMN33406726.contig00054 len=12634
>SAMN33406726.contig00058 len=8418
>SAMN33406726.contig00060 len=7791
>SAMN33406726.contig00063 len=6743
>SAMN33406726.contig00064 len=6599
>SAMN33406726.contig00065 len=6072
>SAMN33406726.contig00066 len=5902
>SAMN33406726.contig00067 len=5680
>SAMN33406726.contig00071 len=4616
>SAMN33406726.contig00072 len=4570
>SAMN33406726.contig00073 len=4544
>SAMN33406726.contig00074 len=4420
>SAMN33406726.contig00077 len=3543
>SAMN33406726.contig00079 len=3143
>SAMN33406726.contig00082 len=2801
>SAMN33406726.contig00083 len=2801
>SAMN33406726.contig00125 len=473
>SAMN33406726.contig00164 len=333
>SAMN33406743.contig00011 len=104228
>SAMN33406743.contig00019 len=72763
>SAMN33406743.contig00040 len=53500
>SAMN33406743.contig00044 len=50058
>SAMN33406743.contig00054 len=42799
>SAMN33406743.contig00060 len=39686
>SAMN33406743.contig00065 len=37926
>SAMN33406743.contig00075 len=29227
>SAMN33406743.contig00087 len=23793
>SAMN33406743.contig00096 len=19564
>SAMN33406743.contig00099 len=18594
>SAMN33406743.contig00103 len=17854
>SAMN33406743.contig00105 len=17108
>SAMN33406743.contig00106 len=16247
>SAMN33406743.contig00112 len=14729
>SAMN33406743.contig00113 len=14080
>SAMN33406743.contig00122 len=12051
>SAMN33406743.contig00124 len=11777
>SAMN33406743.contig00125 len=11589
>SAMN33406743.contig00133 len=8588
>SAMN33406743.contig00140 len=6519
>SAMN33406743.contig00146 len=5701
>SAMN33406744.contig00011 len=165296
>SAMN33406744.contig00016 len=121231
>SAMN33406744.contig00017 len=115713
>SAMN33406744.contig00023 len=99985
>SAMN33406744.contig00043 len=49981
>SAMN33406744.contig00052 len=38058
>SAMN33406744.contig00059 len=29006
>SAMN33406744.contig00060 len=28947
>SAMN33406744.contig00069 len=14664
>SAMN33406744.contig00072 len=13322
>SAMN33406744.contig00075 len=12589
>SAMN33406744.contig00077 len=12019
>SAMN33406744.contig00078 len=11937
>SAMN33406744.contig00084 len=9411
>SAMN33406744.contig00087 len=8414
>SAMN33406744.contig00091 len=7643
>SAMN33406744.contig00092 len=7478
>SAMN33406744.contig00094 len=7280
>SAMN33406744.contig00095 len=6743
>SAMN33406744.contig00097 len=6072
>SAMN33406744.contig00102 len=5177
>SAMN33406744.contig00104 len=4800
>SAMN33406744.contig00105 len=4544
>SAMN33406744.contig00106 len=4420
>SAMN33406744.contig00107 len=3928
>SAMN33406744.contig00108 len=3563
>SAMN33406744.contig00112 len=2804
>SAMN33406744.contig00171 len=371
>SAMN33406744.contig00174 len=357
>SAMN33406744.contig00235 len=223
>SAMN33406744.contig00240 len=223
>SAMN33406745.contig00007 len=295132
>SAMN33406745.contig00010 len=229398
>SAMN33406745.contig00017 len=168695
>SAMN33406745.contig00019 len=118352
>SAMN33406745.contig00028 len=73521
>SAMN33406745.contig00032 len=66099
>SAMN33406745.contig00034 len=64908
>SAMN33406745.contig00041 len=46521
>SAMN33406745.contig00044 len=38960
>SAMN33406745.contig00052 len=25442
>SAMN33406745.contig00053 len=24206
>SAMN33406745.contig00060 len=12272
>SAMN33406745.contig00062 len=9477
>SAMN33406745.contig00066 len=6291
>SAMN33406745.contig00068 len=5919
>SAMN33406745.contig00071 len=4817
>SAMN33406745.contig00074 len=4051
>SAMN33406745.contig00079 len=2361
>SAMN33406746.contig00011 len=229341
>SAMN33406746.contig00013 len=163432
>SAMN33406746.contig00018 len=125451
>SAMN33406746.contig00032 len=73521
>SAMN33406746.contig00035 len=66304
>SAMN33406746.contig00037 len=65145
>SAMN33406746.contig00043 len=52149
>SAMN33406746.contig00044 len=51296
>SAMN33406746.contig00046 len=43859
>SAMN33406746.contig00047 len=43216
>SAMN33406746.contig00059 len=12283
>SAMN33406746.contig00065 len=6291
>SAMN33406746.contig00066 len=6216
>SAMN33406746.contig00067 len=5919
>SAMN33406746.contig00068 len=5411
>SAMN33406746.contig00069 len=5192
>SAMN33406746.contig00071 len=4817
>SAMN33406746.contig00076 len=3783
>SAMN33406746.contig00079 len=3161
>SAMN33406746.contig00083 len=2361
>SAMN33406747.contig00002 len=537402
>SAMN33406747.contig00009 len=266976
>SAMN33406747.contig00018 len=140499
>SAMN33406747.contig00020 len=105632
>SAMN33406747.contig00029 len=64908
>SAMN33406747.contig00035 len=46521
>SAMN33406747.contig00041 len=12272
>SAMN33406747.contig00047 len=6402
>SAMN33406747.contig00048 len=6216
>SAMN33406747.contig00049 len=5919
>SAMN33406747.contig00051 len=5411
>SAMN33406747.contig00052 len=5192
>SAMN33406747.contig00054 len=4817
>SAMN33406747.contig00057 len=3783
>SAMN33406747.contig00060 len=3161
>SAMN33406747.contig00064 len=2361
>SAMN33406749.contig00008 len=251046
>SAMN33406749.contig00009 len=229389
>SAMN33406749.contig00016 len=140499
>SAMN33406749.contig00030 len=73521
>SAMN33406749.contig00036 len=66123
>SAMN33406749.contig00037 len=64908
>SAMN33406749.contig00044 len=52150
>SAMN33406749.contig00049 len=46521
>SAMN33406749.contig00052 len=38964
>SAMN33406749.contig00056 len=25442
>SAMN33406749.contig00058 len=24206
>SAMN33406749.contig00060 len=21569
>SAMN33406749.contig00065 len=12272
>SAMN33406749.contig00071 len=6291
>SAMN33406749.contig00073 len=5919
>SAMN33406749.contig00074 len=5886
>SAMN33406749.contig00075 len=5411
>SAMN33406749.contig00079 len=5192
>SAMN33406749.contig00081 len=4817
>SAMN33406749.contig00084 len=4051
>SAMN33406749.contig00085 len=3783
>SAMN33406749.contig00088 len=3161
>SAMN33406752.contig00002 len=437464
>SAMN33406752.contig00005 len=287569
>SAMN33406752.contig00015 len=161558
>SAMN33406752.contig00017 len=140499
>SAMN33406752.contig00023 len=99472
>SAMN33406752.contig00034 len=73521
>SAMN33406752.contig00039 len=64908
>SAMN33406752.contig00046 len=45873
>SAMN33406752.contig00048 len=43805
>SAMN33406752.contig00052 len=27800
>SAMN33406752.contig00054 len=25431
>SAMN33406752.contig00056 len=24095
>SAMN33406752.contig00059 len=20423
>SAMN33406752.contig00062 len=17921
>SAMN33406752.contig00066 len=15097
>SAMN33406752.contig00067 len=12272
>SAMN33406752.contig00070 len=10367
>SAMN33406752.contig00071 len=9916
>SAMN33406752.contig00072 len=9477
>SAMN33406752.contig00073 len=9298
>SAMN33406752.contig00076 len=7514
>SAMN33406752.contig00078 len=6712
>SAMN33406752.contig00079 len=6315
>SAMN33406752.contig00080 len=6076
>SAMN33406752.contig00081 len=5919
>SAMN33406752.contig00082 len=5708
>SAMN33406752.contig00083 len=5632
>SAMN33406752.contig00084 len=5207
>SAMN33406752.contig00085 len=5192
>SAMN33406752.contig00086 len=5061
>SAMN33406752.contig00087 len=4817
>SAMN33406752.contig00089 len=4491
>SAMN33406752.contig00091 len=4352
>SAMN33406752.contig00092 len=4324
>SAMN33406752.contig00094 len=4053
>SAMN33406752.contig00095 len=3863
>SAMN33406752.contig00096 len=3783
>SAMN33406752.contig00097 len=3623
>SAMN33406752.contig00100 len=3249
>SAMN33406752.contig00102 len=3161
>SAMN33406752.contig00141 len=909
>SAMN33406752.contig00154 len=582
>SAMN33406753.contig00008 len=250172
>SAMN33406753.contig00010 len=229398
>SAMN33406753.contig00017 len=169601
>SAMN33406753.contig00019 len=140499
>SAMN33406753.contig00020 len=138796
>SAMN33406753.contig00034 len=67780
>SAMN33406753.contig00036 len=64908
>SAMN33406753.contig00041 len=51276
>SAMN33406753.contig00043 len=46521
>SAMN33406753.contig00054 len=12272
>SAMN33406753.contig00056 len=9807
>SAMN33406753.contig00061 len=7144
>SAMN33406753.contig00064 len=5919
>SAMN33406753.contig00066 len=5192
>SAMN33406753.contig00068 len=4817
>SAMN33406753.contig00071 len=3783
>SAMN33406753.contig00075 len=3161
>SAMN33406753.contig00079 len=2361
>SAMN33406756.contig00009 len=253484
>SAMN33406756.contig00013 len=190808
>SAMN33406756.contig00018 len=132450
>SAMN33406756.contig00021 len=119929
>SAMN33406756.contig00034 len=49878
>SAMN33406756.contig00041 len=39074
>SAMN33406756.contig00046 len=29320
>SAMN33406756.contig00049 len=19794
>SAMN33406756.contig00050 len=17247
>SAMN33406756.contig00053 len=10344
>SAMN33406756.contig00054 len=8229
>SAMN33406756.contig00055 len=8024
>SAMN33406756.contig00056 len=7847
>SAMN33406756.contig00058 len=7434
>SAMN33406756.contig00073 len=2968
>SAMN33406757.contig00002 len=416422
>SAMN33406757.contig00010 len=245403
>SAMN33406757.contig00016 len=169242
>SAMN33406757.contig00019 len=140499
>SAMN33406757.contig00020 len=138761
>SAMN33406757.contig00021 len=121520
>SAMN33406757.contig00034 len=64908
>SAMN33406757.contig00038 len=51292
>SAMN33406757.contig00040 len=46521
>SAMN33406757.contig00043 len=39484
>SAMN33406757.contig00048 len=31199
>SAMN33406757.contig00049 len=24095
>SAMN33406757.contig00057 len=12272
>SAMN33406757.contig00062 len=7144
>SAMN33406757.contig00065 len=5919
>SAMN33406757.contig00066 len=5886
>SAMN33406757.contig00067 len=5411
>SAMN33406757.contig00068 len=5192
>SAMN33406757.contig00069 len=4817
>SAMN33406757.contig00073 len=3844
>SAMN33406757.contig00074 len=3783
>SAMN33406757.contig00077 len=3161
>SAMN33406757.contig00079 len=2606
>SAMN33406759.contig00008 len=145115
>SAMN33406759.contig00030 len=71061
>SAMN33406759.contig00033 len=67743
>SAMN33406759.contig00035 len=59081
>SAMN33406759.contig00045 len=51270
>SAMN33406759.contig00051 len=46081
>SAMN33406759.contig00056 len=42406
>SAMN33406759.contig00062 len=37964
>SAMN33406759.contig00072 len=33502
>SAMN33406759.contig00078 len=32019
>SAMN33406759.contig00081 len=29931
>SAMN33406759.contig00087 len=26365
>SAMN33406759.contig00096 len=21996
>SAMN33406759.contig00100 len=21092
>SAMN33406759.contig00103 len=20151
>SAMN33406759.contig00110 len=17860
>SAMN33406759.contig00123 len=14733
>SAMN33406759.contig00132 len=12275
>SAMN33406759.contig00140 len=10245
>SAMN33406759.contig00141 len=10092
>SAMN33406759.contig00142 len=9683
>SAMN33406759.contig00148 len=7955
>SAMN33406759.contig00153 len=7279
>SAMN33406759.contig00156 len=6957
>SAMN33406759.contig00159 len=6723
>SAMN33406759.contig00163 len=6216
>SAMN33406759.contig00165 len=5919
>SAMN33406759.contig00167 len=5803
>SAMN33406759.contig00171 len=5276
>SAMN33406759.contig00172 len=5192
>SAMN33406759.contig00175 len=4817
>SAMN33406759.contig00180 len=4270
>SAMN33406759.contig00183 len=4226
>SAMN33406759.contig00188 len=3783
>SAMN33406759.contig00194 len=3161
>SAMN33406759.contig00198 len=2956
>SAMN33406759.contig00199 len=2855
>SAMN33406759.contig00201 len=2696
>SAMN33406759.contig00206 len=2361
>SAMN33406759.contig00259 len=555
>SAMN33406762.contig00001 len=537402
>SAMN33406762.contig00016 len=140499
>SAMN33406762.contig00017 len=138793
>SAMN33406762.contig00021 len=120185
>SAMN33406762.contig00031 len=73521
>SAMN33406762.contig00034 len=64908
>SAMN33406762.contig00040 len=51281
>SAMN33406762.contig00043 len=40729
>SAMN33406762.contig00049 len=30010
>SAMN33406762.contig00050 len=29974
>SAMN33406762.contig00052 len=27841
>SAMN33406762.contig00054 len=24206
>SAMN33406762.contig00058 len=18522
>SAMN33406762.contig00064 len=12904
>SAMN33406762.contig00065 len=12272
>SAMN33406762.contig00068 len=7144
>SAMN33406762.contig00070 len=6464
>SAMN33406762.contig00071 len=5919
>SAMN33406762.contig00072 len=5886
>SAMN33406762.contig00073 len=5192
>SAMN33406762.contig00075 len=4817
>SAMN33406762.contig00078 len=3783
>SAMN33406762.contig00081 len=3161
>SAMN33406762.contig00085 len=2361
>SAMN33406764.contig00002 len=537402
>SAMN33406764.contig00015 len=171144
>SAMN33406764.contig00018 len=119541
>SAMN33406764.contig00022 len=96230
>SAMN33406764.contig00031 len=64908
>SAMN33406764.contig00038 len=46521
>SAMN33406764.contig00040 len=44546
>SAMN33406764.contig00042 len=40451
>SAMN33406764.contig00045 len=27758
>SAMN33406764.contig00053 len=12272
>SAMN33406764.contig00056 len=10113
>SAMN33406764.contig00057 len=9477
>SAMN33406764.contig00061 len=6402
>SAMN33406764.contig00063 len=5919
>SAMN33406764.contig00065 len=5411
>SAMN33406764.contig00066 len=5192
>SAMN33406764.contig00068 len=4817
>SAMN33406764.contig00073 len=3783
>SAMN33406764.contig00076 len=3161
>SAMN33406764.contig00078 len=2361
>SAMN33406764.contig00080 len=2223
>SAMN33406766.contig00007 len=227971
>SAMN33406766.contig00010 len=208565
>SAMN33406766.contig00016 len=169679
>SAMN33406766.contig00017 len=147272
>SAMN33406766.contig00019 len=127899
>SAMN33406766.contig00021 len=98679
>SAMN33406766.contig00025 len=88236
>SAMN33406766.contig00039 len=58769
>SAMN33406766.contig00044 len=52299
>SAMN33406766.contig00059 len=33502
>SAMN33406766.contig00061 len=32636
>SAMN33406766.contig00063 len=31329
>SAMN33406766.contig00064 len=30944
>SAMN33406766.contig00066 len=27931
>SAMN33406766.contig00067 len=26908
>SAMN33406766.contig00070 len=25431
>SAMN33406766.contig00073 len=20034
>SAMN33406766.contig00077 len=17998
>SAMN33406766.contig00082 len=12272
>SAMN33406766.contig00084 len=9325
>SAMN33406766.contig00090 len=7733
